 "Trigger_Waveform" , "Rise_Time" , "Dwell_Time" , "Fall_Time" , "Echo_Time" , "Final_Rise_Time" , "Max_Voltage_Amplitude" , "Min_Voltage_Amplitude" , "Period" , "Idle_Voltage" , "Amplitude" , "Waveform_Type" , "nozzle" , "Nozzle_Temp" , "Droplet_Ejected" , "Droplet_Visible" , "Droplet_Tail" , "Droplet_Satellites" , "Droplet_T1" , "Droplet_T2" , "Droplet_Diameter" , "Droplet_Velocity" , "Droplet_Distance_Traveled" , "Ink" ,
 "TR-110" , "2" , "40" , "4" , "40" , "2" , "40" , "-20" ,  ,  ,  , "Unsymmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "956.0" , "1767.0" , "149.84" , "0.7920345252774353" , "642.34" , "50 Glycerol" ,
 "TR-111" , "2" , "40" , "4" , "40" , "2" , "60" , "-30" ,  ,  ,  , "Unsymmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "311.0" , "2500.0" , "130.94" , "0.10576975788031065" , "231.53" , "80 Glycerol" ,
 "TR-117" , "2" , "10" , "4" , "10" , "2" , "80" , "-40" ,  ,  ,  , "Unsymmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "833.0" , "2189.0" , "132.93" , "1.1164085545722713" , "1513.85" , "80 Glycerol" ,
 "TR-106" , "2" , "20" , "4" , "20" , "2" , "60" , "-30" ,  ,  ,  , "Unsymmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "578.0" , "833.0" , "150.9" , "2.6069411764705883" , "664.77" , "80 Glycerol" ,
 "TR-113" , "2" , "40" , "4" , "40" , "2" , "90" , "-45" ,  ,  ,  , "Unsymmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "811.0" , "1400.0" , "152.1" , "1.993056027164686" , "1173.91" , "80 Glycerol" ,
 "TR-118" , "2" , "10" , "4" , "10" , "2" , "90" , "-45" ,  ,  ,  , "Unsymmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "667.0" , "1422.0" , "152.5" , "2.0225827814569537" , "1527.05" , "80 Glycerol" ,
 "TR-112" , "2" , "40" , "4" , "40" , "2" , "80" , "-40" ,  ,  ,  , "Unsymmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "800.0" , "1733.0" , "153.29" , "1.6381028938906752" , "1528.35" , "80 Glycerol" ,
 "TR-115" , "2" , "10" , "4" , "10" , "2" , "40" , "-20" ,  ,  ,  , "Unsymmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "289.0" , "922.0" , "108.7" , "1.153870458135861" , "730.4" , "DI Water" ,
 "TR-110" , "2" , "40" , "4" , "40" , "2" , "40" , "-20" ,  ,  ,  , "Unsymmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "278.0" , "2011.0" , "125.2" , "1.0748413156376226" , "1862.7" , "DI Water" ,
 "TR-112" , "2" , "40" , "4" , "40" , "2" , "80" , "-40" ,  ,  ,  , "Unsymmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "45.0" , "true" , "true" , "false" , "false" , "467.0" , "922.0" , "108.99" , "1.6565274725274726" , "753.72" , "TangoBlack" ,
 "TR-113" , "2" , "40" , "4" , "40" , "2" , "90" , "-45" ,  ,  ,  , "Unsymmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "45.0" , "true" , "true" , "false" , "false" , "500.0" , "944.0" , "125.84" , "2.1683333333333334" , "962.74" , "TangoBlack" ,
 "TR-112" , "2" , "40" , "4" , "40" , "2" , "80" , "-40" ,  ,  ,  , "Unsymmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "45.0" , "true" , "true" , "false" , "false" , "478.0" , "822.0" , "125.93" , "1.780988372093023" , "612.66" , "TangoBlack" ,
 "TR-113" , "2" , "40" , "4" , "40" , "2" , "90" , "-45" ,  ,  ,  , "Unsymmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "45.0" , "true" , "true" , "false" , "false" , "433.0" , "944.0" , "132.22" , "2.0671232876712327" , "1056.3" , "TangoBlack" ,
 "TR-112" , "2" , "40" , "4" , "40" , "2" , "80" , "-40" ,  ,  ,  , "Unsymmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "45.0" , "true" , "true" , "false" , "false" , "467.0" , "1367.0" , "113.43" , "1.187988888888889" , "1069.19" , "VeroClear" ,
 "TR-113" , "2" , "40" , "4" , "40" , "2" , "90" , "-45" ,  ,  ,  , "Unsymmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "45.0" , "true" , "true" , "false" , "false" , "433.0" , "756.0" , "114.03" , "1.4244582043343654" , "460.1" , "VeroClear" ,
